Sig	1DlC	1DlT	1IsC	1IsT	2DlM	2DlR	2IsR	3DlM	3DlR	3IsR	4DlM	4DlR	4IsR	5DlM	5DlR	5IsR
ID1	0.003370115	3.31E-18	0.024296536	0.890906468	0.001197815	3.31E-18	0.018121584	0.001479593	3.31E-18	0.001248696	0.000160684	2.89E-05	0.00100132	0.000665116	3.13E-05	0.000119834
ID10	8.42E-18	1.27E-17	0.000851184	1.11E-08	0.000638138	8.42E-18	8.42E-18	0.019304164	8.42E-18	0.00018504	8.22E-05	0.000209045	0.013802977	0.041408931	0.001120242	0.002740591
ID11	0.000156465	0.006539395	0.003412242	0.023629043	0.000382064	0.004527713	0.000288801	0.000301744	0.001742363	9.01E-05	0.000789868	0.000157603	9.08E-18	0.000518955	8.18E-08	1.84E-06
ID12	0.029410808	0.000348512	0.01705149	0.00016655	0.002653503	0.251519844	0.038005197	0.006061158	0.097480944	0.002840312	0.000525263	0.018644449	0.011670537	0.006657973	0.00618126	0.00613607
ID13	0.000843056	0.006079575	0.000706981	0.011099794	0.008872408	6.63E-05	0.000846575	0.000450306	9.96E-05	3.54E-05	0.000270578	6.30E-05	3.14E-07	0.013131907	2.35E-06	4.33E-05
ID14	0.002370276	0.038616999	0.002292999	0.232747555	0.002640925	4.37E-05	0.000544275	0.003236935	9.19E-18	0.002205997	0.002230434	9.19E-18	0.000274449	0.000931512	9.08E-05	2.15E-05
ID15	0.018458293	0.046903215	6.58E-18	6.58E-18	6.58E-18	6.58E-18	6.58E-18	6.58E-18	6.58E-18	6.58E-18	6.58E-18	1.76E-06	6.58E-18	0.000139829	1.74E-06	6.58E-18
ID16	2.65E-18	2.79E-18	0.031034603	0.035007686	0.001374201	2.64E-18	1.18E-06	0.000980364	9.58E-06	2.29E-05	0.000402368	2.64E-18	2.66E-18	0.001601629	2.63E-18	2.65E-18
ID17	0.001220933	4.63E-08	0.009790503	0.00487383	0.003668966	3.89E-08	4.64E-08	0.003681076	4.51E-08	2.78E-08	0.003659617	4.44E-09	1.17E-08	0.006075636	3.34E-08	4.48E-08
ID18	0.002004016	0.070140562	1.00E-18	0.004008032	0.018036144	1.00E-18	0.002004016	1.00E-18	1.00E-18	1.00E-18	1.00E-18	1.00E-18	1.00E-18	1.00E-18	1.00E-18	1.00E-18
ID19	0.000336114	0.001898312	0.027969581	0.010733883	0.002361922	6.84E-06	0.033275223	0.001188445	0.000118082	0.00101487	0.000412019	0.000157985	1.22E-07	0.003317459	2.24E-06	2.24E-06
ID2	0.014615424	0.814697227	0.009017536	0.003132585	0.000175553	4.67E-18	0.013633376	0.002944063	3.95E-18	0.001864707	0.000693566	0.000210413	0.002193545	0.002367319	2.12E-05	0.000115629
ID20	2.24E-09	0.009773246	0.229282853	0.051457761	0.001885514	1.35E-08	0.00103185	0.000572256	2.02E-08	1.70E-08	0.000464372	2.83E-08	2.60E-08	1.83E-09	3.09E-08	3.09E-08
ID21	0.014248202	0.034237057	0.001820848	0.016359294	0.01183853	0.002766509	0.014259815	0.076342425	0.001402456	0.000743075	0.078494647	3.31E-05	0.00056024	0.003415398	5.26E-07	7.07E-06
ID22	0.005329239	0.008725468	0.01139551	0.017875614	0.001744942	0.001011988	0.001554575	0.001382468	2.34E-05	2.80E-05	0.00012253	6.61E-07	0.000180119	0.001031553	2.96E-08	3.42E-05
ID23	0.00573968	0.00484058	0.00126133	0.00027934	0.03953384	0.00049256	0.00000259	0.00445127	0.00004982	0.00001267	0.00175756	0.0000137	0.00000719	0.00074925	0.0000016	0.0000026
ID3	0.022417486	0.008066314	0.007351101	0.026181239	0.006930764	0.000101239	6.67E-06	0.00030285	3.83E-07	4.12E-18	0.000130463	2.83E-06	3.29E-05	0.00036297	3.82E-06	3.48E-06
ID4	0.002246178	0.000154442	0.000249143	0.000832926	0.188997489	0.002382721	0.000103689	0.049416601	0.001138609	3.96E-05	0.04886664	0.00061078	0.000135205	4.56E-05	0.000106174	0.000160229
ID5	0.002602449	0.030610523	0.000433544	0.001439215	0.028687946	0.02142678	0.000994122	0.00900421	0.008378911	0.000102574	0.003442442	0.001584436	0.000635977	0.001112367	0.000585018	0.000626342
ID6	0.001322073	0.007954345	0.000247997	0.014390041	0.000632866	0.000215685	0.000748642	0.00443363	0.000150616	1.98E-05	0.004773094	5.68E-05	0.000106861	0.099282999	1.15E-05	6.17E-05
ID7	0.25176314	1.92E-07	0.060343229	0.010789849	0.003127058	0.057046331	0.00024477	0.004635639	0.000436589	0.000769276	0.000717325	0.000250764	8.74E-06	0.001738365	2.08E-05	4.28E-06
ID8	0.000933729	0.010620342	0.000489489	0.020161248	0.004913672	0.000833079	0.001764384	0.004302693	9.10E-05	3.66E-05	0.001098342	6.34E-06	0.000885225	0.012814882	4.43E-05	0.000190551
ID9	4.48E-05	0.000929835	7.37E-05	0.00577248	0.003900972	5.41E-18	5.41E-18	0.001543302	5.41E-18	5.41E-18	0.002544079	1.37E-05	2.18E-06	5.41E-18	2.99E-05	9.89E-06
