Sig	AC>CA	AC>CG	AC>CT	AC>GA	AC>GG	AC>GT	AC>TA	AC>TG	AC>TT	AT>CA	AT>CC	AT>CG	AT>GA	AT>GC	AT>TA	CC>AA	CC>AG	CC>AT	CC>GA	CC>GG	CC>GT	CC>TA	CC>TG	CC>TT	CG>AT	CG>GC	CG>GT	CG>TA	CG>TC	CG>TT	CT>AA	CT>AC	CT>AG	CT>GA	CT>GC	CT>GG	CT>TA	CT>TC	CT>TG	GC>AA	GC>AG	GC>AT	GC>CA	GC>CG	GC>TA	TA>AT	TA>CG	TA>CT	TA>GC	TA>GG	TA>GT	TC>AA	TC>AG	TC>AT	TC>CA	TC>CG	TC>CT	TC>GA	TC>GG	TC>GT	TG>AA	TG>AC	TG>AT	TG>CA	TG>CC	TG>CT	TG>GA	TG>GC	TG>GT	TT>AA	TT>AC	TT>AG	TT>CA	TT>CC	TT>CG	TT>GA	TT>GC	TT>GG
DBS1	4.97E-05	2.64E-05	0.004291091	0.000127032	5.71E-05	0.002960753	0.001200305	0.000172044	0.026506737	0.000482123	0.000297076	3.98E-06	0.002120539	0.000174044	0.002340595	1.06E-05	1.23E-05	0.018704754	0.000134034	9.82E-05	0.006921759	0.010402644	0.002550648	0.858218125	6.03E-07	5.42E-06	1.70E-06	0.000356091	1.26E-05	0.000124032	2.77E-05	0.000419107	2.85E-18	8.92E-05	0.000252064	1.08E-05	0.007811985	0.010502669	0.002240569	0.001580402	0.000107027	4.87E-05	5.76E-05	5.15E-06	8.27E-07	0.000505128	7.55E-06	0.000702178	2.01E-05	7.03E-05	0.001150292	1.09E-05	3.09E-06	0.002460625	4.42E-06	3.30E-05	0.001900483	6.42E-05	0.000411104	0.005101297	0.001370348	0.00023706	0.002410613	0.000279071	0.000103026	0.00185047	0.000407103	8.89E-05	0.001900483	0.005491396	0.000720183	0.000418106	0.000725184	0.005421378	8.38E-05	0.001860473	0.001060269	0.001610409
DBS10	0.009630417	1.77E-05	0.013500585	0.005350232	0.000590026	0.028701244	0.000105005	7.66E-06	0.000710031	0.003530153	0.00116005	0.002590112	8.06E-05	0.004080177	0.002930127	0.013700594	7.13E-05	0.010500455	0.003390147	7.41E-18	0.001080047	0.023901036	7.41E-18	0.020600893	7.41E-18	1.90E-05	1.02E-05	0.358015516	0.002650115	0.007770337	0.00393017	0.013000563	0.026501149	7.41E-18	7.41E-18	7.41E-18	0.004030175	0.002750119	0.045701981	0.004080177	7.41E-18	0.007750336	0.000105005	7.41E-18	0.002810122	0.010400451	0.004110178	0.00162007	7.41E-18	0.008590372	0.003610156	0.007560328	0.000271012	0.003090134	0.025201092	0.000842036	0.026201136	0.043801898	7.41E-18	0.045901989	0.001420062	0.000207009	0.002500108	0.029201266	0.000190008	0.004330188	2.02E-05	7.41E-18	0.002170094	0.014500628	7.41E-18	0.006960302	0.001290056	0.002880125	0.008580372	0.008690377	0.025801118	0.084703671
DBS11	0.001369907	0.000193987	0.000755948	0.00044197	0.002249847	0.005709611	0.000263982	0.000238984	0.002819808	0.009479354	0.00189987	1.74E-05	0.011199236	0.004179715	0.003839738	7.35E-18	0.000971934	0.034497648	0.000952935	0.003449765	0.069495262	0.058795991	0.032297798	0.331977366	0.001819876	0.000165989	0.00117992	7.38E-18	0.000684953	0.000698952	0.0043997	0.00234984	0.000495966	0.011599209	0.006109583	0.004019726	0.041697157	0.002989796	0.001479899	0.000999932	0.003289776	0.027198146	0.002109856	0.004039725	0.000242983	0.002229848	0.00058396	0.00337977	0.00101993	0.000374974	0.002669818	0.000216985	0.047396768	0.084594232	0.000281981	0.003239779	0.02009863	0.000234984	0.0073295	0.015198964	0.007829466	0.000865941	0.010499284	0.056096175	0.003129787	0.00557962	0.007309502	0.006119583	0.005239643	0.004769675	0.001039929	0.001269913	0.002019862	0.003999727	9.96E-18	0.000706952	5.78E-06	7.34E-18
DBS12	0.005055938	0.002412014	0.000465784	0.007284703	0.007540177	0.002008084	0.007159833	0.001606502	0.003363148	0.001949476	0.003491967	0.001357392	0.006419643	0.004039874	0.002697639	0.016391962	0.019745976	0.014912009	0.012598378	0.02162396	0.007396935	0.010815781	0.028898566	0.001413473	0.030050354	0.085833786	0.096299804	0.030507175	0.119573465	0.110196291	0.008059373	0.007940884	0.004231297	0.001974625	0.000889745	0.011406077	0.010594002	0.009083663	0.003177719	0.026554392	0.010307466	0.006964502	0.005267102	0.00101238	0.000770159	0.008196571	0.00054599	0.003157555	0.001798997	0.002579796	0.001542158	0.02219116	0.007778106	0.019078044	0.023730105	0.006832254	0.006225306	0.012496645	0.00170472	0.001367407	0.002809632	0.000920679	0.019556754	0.015597346	0.022780717	0.018261631	0.002296312	0.001950142	0.005554744	0.004289044	0.000410836	0.003053703	0.003296511	1.88E-07	0.001672661	0.000442363	0.006538126	2.94E-07
DBS13	0.002155121	5.15E-05	0.002853398	0.002762299	0.001464314	0.004439439	0.002579913	0.004284486	0.015739739	0.004208115	0.001008029	2.33E-06	0.00213368	0.000300299	0.010517294	5.13E-07	0.011679584	0.043281394	1.04E-05	0.000769436	0.02345453	0.04135706	0.009544726	9.97E-05	0.000412789	0.001170693	0.00236357	0.000655573	0.00221426	0.00164313	0.061689865	0.025896885	0.013288341	0.001094087	0.003880389	0.002649986	0.031085796	0.008510987	0.003913486	3.19E-08	0.016969154	0.017372386	0.010399208	0.000864869	3.39E-05	0.006245895	0.000244713	0.016384837	0.000126772	0.00059345	0.006147368	0.068108944	0.067216661	0.157912393	0.037507986	0.007226905	0.032501655	0.011584332	0.015384381	0.033311728	0.019240879	0.004423546	0.018519707	0.028637802	0.005206514	0.016504787	0.006105121	0.002194356	0.019161828	0.013185494	0.00147249	0.005792166	0.00380848	1.05E-06	0.000856761	0.002826837	0.000755107	2.32E-06
DBS14	0.01993572	0.000470977	0.001475449	0.000788733	0.000265703	0.003216438	0.001595998	7.73E-05	0.000762895	0.002339905	0.00037024	4.37E-08	0.0042037	0.000472354	0.009285173	0.002647122	0.000109879	0.000480437	0	0.001799943	0.000419574	0	0.000471886	0.005388226	6.44E-09	0.001209911	0.000159847	6.27E-08	0.000198283	0.000106432	0.000213356	0.008975521	0	0.000202334	0.00439828	9.47E-05	0.001389264	0.027589692	0.000371732	0.000208559	0.000477128	2.47E-07	0.000156319	0.000572407	6.34E-06	0.010463586	0.00014673	0.003276151	8.18E-05	0.000358303	0.003566001	0.000633091	5.73E-09	0.001992905	0.00474929	0.000758988	0.029846272	0	9.47E-05	0.000523876	0.000412255	2.78E-05	0.001017406	0.005926623	0.000433533	0.000426796	0.003540887	0.003046221	0.032619614	0.193877621	0.012421524	0.006800535	0.007467717	0.374297513	3.36E-05	0.015890093	0.006386925	0.175973553
DBS15	0.015497544	1.23E-05	0.015137074	0.016256457	0.001741257	0.09285221	0.002551332	0.000369916	0.006943356	0.001157098	0.010013439	3.00E-07	0.007839901	0.014691143	0.012340007	0.017028409	8.94E-06	0.029213271	8.93E-06	5.91E-07	0.000519642	0.051623875	2.84E-05	0.086708012	0.000185398	2.76E-06	0.000228167	8.70E-05	0.000617251	0.002673117	0.003747327	0.076431379	2.94E-06	0.000281927	0.000332526	0.000242249	0.003422208	0.066518088	7.22E-06	0.043811196	0.003924086	0.145018301	0.001191386	0.000351655	0.001700454	0.025317628	0.015331004	0.00256413	7.97E-05	0.002323631	0.000822818	0.000486878	0.000115018	0.008164433	0.020503712	3.40E-06	0.048024505	2.35E-06	1.15E-09	0.000147695	0.003557839	0.000159038	0.0018636	0.078812759	0.000194374	0.003678294	0.005464154	0.000649841	0.005781918	0.008262647	0.003723603	0.000263724	0.002669611	0.013720759	0.002697436	0.000797128	0.010482114	1.43E-05
DBS16	0.056543602	0.004274165	0.013859778	0.008476822	0.003519902	0.003577356	0.005687769	0.001091719	0.004182681	0.007864558	0.002090492	0.003649763	0.004752044	0.001510302	0.006543192	0.034187122	0.010690711	0.018390883	0.002978183	0.000175355	0.002714998	0.007067731	0.000419159	0.016212038	0.000129961	0.000188346	0.001451902	0.001760233	0.001206429	0.003571947	0.06121544	0.08305172	0.033156692	0.001115376	0.008867382	0.004112066	0.017791431	0.092975607	0.006479737	0.015656868	0.0075527	0.004065	0.003761259	0.001254815	0.000666802	0.008410253	0.001250772	0.010859844	0.000900104	0.00093403	0.005843986	0.072475827	0.009803143	0.025369037	0.014005863	0.000258731	0.007547601	0.004011448	0.002238811	0.004264773	0.007169951	0.000798883	0.008949356	0.005452183	0.002423519	0.009846344	0.001188845	0.00140568	0.028982983	0.033515238	0.008655384	0.030637872	0.089474486	1.92E-06	0.011152748	0.008136742	0.013267588	0.000274018
DBS17	0.020714155	0.001784735	0.014488098	0.019191793	0.008064512	0.030542486	0.008662643	0.008804955	0.017468062	0.010150171	0.007050836	0.001416492	0.014212182	0.010928285	0.012537799	0.000352387	0.001213603	0.000730958	0.000748926	0.003299617	0.009460629	0.000290776	0.031639508	0.000822735	0.002510979	0.002335362	0.00476132	0.005848084	0.005637013	0.012321918	0.01041216	0.014599085	0.008127513	0.005520223	0.011094593	0.007749222	0.000912168	0.018732976	0.024440751	0.125929493	0.018904026	0.046250688	0.011349393	0.00036973	0.008755137	0.008762457	0.007286582	0.016921233	0.00070131	0.005882048	0.012383849	0.058157842	0.000232577	0.001311999	0.005348827	0.001641628	0.020706331	0.006224147	0.00028347	0.000388565	0.008244438	0.002321386	0.009103068	0.145545155	0.017292738	0.0037354	0.009965739	0.00747641	0.003237668	0.000211844	0.011976581	0.006402165	0.013897479	3.80E-06	0.0063733	0.008662665	0.018174357	4.75E-06
DBS18	0.010322835	0.002708308	0.020157714	0.007339722	0.004986928	0.012220562	0.022936838	0.01387712	0.016842745	0.004560274	0.001818777	0.000742811	0.002640487	0.000494586	0.008000102	0.010610342	0.047633472	0.099232424	0.015979632	0.005213375	0.019021139	0.022670451	0.018068499	0.032041353	0.000826621	3.22E-05	0.001612797	0.000254724	0.001207225	0.00254547	0.026536827	0.026147565	0.007266997	0.003647363	0.001224537	0.001985281	0.009521994	0.006320824	0.002596032	0.034834999	0.042296529	0.050690401	0.023420801	0.00193531	0.019024828	0.010450043	0.001925745	0.011142003	0.000262405	0.003743955	0.007031086	0.003674987	0.011850575	0.073564885	0.01880728	0.002192277	0.025513035	0.001900806	0.001838723	0.008122282	0.010047845	0.004515355	0.026969591	0.015736824	0.003782541	0.010574651	0.00077124	0.000830959	0.003101985	0.027232862	0.017467985	0.008045275	0.016968792	2.12E-07	0.003825314	0.001357204	0.00270108	3.96E-07
