Sig	AC>CA	AC>CG	AC>CT	AC>GA	AC>GG	AC>GT	AC>TA	AC>TG	AC>TT	AT>CA	AT>CC	AT>CG	AT>GA	AT>GC	AT>TA	CC>AA	CC>AG	CC>AT	CC>GA	CC>GG	CC>GT	CC>TA	CC>TG	CC>TT	CG>AT	CG>GC	CG>GT	CG>TA	CG>TC	CG>TT	CT>AA	CT>AC	CT>AG	CT>GA	CT>GC	CT>GG	CT>TA	CT>TC	CT>TG	GC>AA	GC>AG	GC>AT	GC>CA	GC>CG	GC>TA	TA>AT	TA>CG	TA>CT	TA>GC	TA>GG	TA>GT	TC>AA	TC>AG	TC>AT	TC>CA	TC>CG	TC>CT	TC>GA	TC>GG	TC>GT	TG>AA	TG>AC	TG>AT	TG>CA	TG>CC	TG>CT	TG>GA	TG>GC	TG>GT	TT>AA	TT>AC	TT>AG	TT>CA	TT>CC	TT>CG	TT>GA	TT>GC	TT>GG
DBS1	4.97E-05	2.64E-05	4.29E-03	1.27E-04	5.71E-05	2.96E-03	1.20E-03	1.72E-04	2.65E-02	4.82E-04	2.97E-04	3.98E-06	2.12E-03	1.74E-04	2.34E-03	1.06E-05	1.23E-05	1.87E-02	1.34E-04	9.82E-05	6.92E-03	1.04E-02	2.55E-03	8.58E-01	6.03E-07	5.42E-06	1.70E-06	3.56E-04	1.26E-05	1.24E-04	2.77E-05	4.19E-04	2.85E-18	8.92E-05	2.52E-04	1.08E-05	7.81E-03	1.05E-02	2.24E-03	1.58E-03	1.07E-04	4.87E-05	5.76E-05	5.15E-06	8.27E-07	5.05E-04	7.55E-06	7.02E-04	2.01E-05	7.03E-05	1.15E-03	1.09E-05	3.09E-06	2.46E-03	4.42E-06	3.30E-05	1.90E-03	6.42E-05	4.11E-04	5.10E-03	1.37E-03	2.37E-04	2.41E-03	2.79E-04	1.03E-04	1.85E-03	4.07E-04	8.89E-05	1.90E-03	5.49E-03	7.20E-04	4.18E-04	7.25E-04	5.42E-03	8.38E-05	1.86E-03	1.06E-03	1.61E-03
DBS10	9.63E-03	1.77E-05	1.35E-02	5.35E-03	5.90E-04	2.87E-02	1.05E-04	7.66E-06	7.10E-04	3.53E-03	1.16E-03	2.59E-03	8.06E-05	4.08E-03	2.93E-03	1.37E-02	7.13E-05	1.05E-02	3.39E-03	7.41E-18	1.08E-03	2.39E-02	7.41E-18	2.06E-02	7.41E-18	1.90E-05	1.02E-05	3.58E-01	2.65E-03	7.77E-03	3.93E-03	1.30E-02	2.65E-02	7.41E-18	7.41E-18	7.41E-18	4.03E-03	2.75E-03	4.57E-02	4.08E-03	7.41E-18	7.75E-03	1.05E-04	7.41E-18	2.81E-03	1.04E-02	4.11E-03	1.62E-03	7.41E-18	8.59E-03	3.61E-03	7.56E-03	2.71E-04	3.09E-03	2.52E-02	8.42E-04	2.62E-02	4.38E-02	7.41E-18	4.59E-02	1.42E-03	2.07E-04	2.50E-03	2.92E-02	1.90E-04	4.33E-03	2.02E-05	7.41E-18	2.17E-03	1.45E-02	7.41E-18	6.96E-03	1.29E-03	2.88E-03	8.58E-03	8.69E-03	2.58E-02	8.47E-02
DBS11	1.37E-03	1.94E-04	7.56E-04	4.42E-04	2.25E-03	5.71E-03	2.64E-04	2.39E-04	2.82E-03	9.48E-03	1.90E-03	1.74E-05	1.12E-02	4.18E-03	3.84E-03	7.35E-18	9.72E-04	3.45E-02	9.53E-04	3.45E-03	6.95E-02	5.88E-02	3.23E-02	3.32E-01	1.82E-03	1.66E-04	1.18E-03	7.38E-18	6.85E-04	6.99E-04	4.40E-03	2.35E-03	4.96E-04	1.16E-02	6.11E-03	4.02E-03	4.17E-02	2.99E-03	1.48E-03	1.00E-03	3.29E-03	2.72E-02	2.11E-03	4.04E-03	2.43E-04	2.23E-03	5.84E-04	3.38E-03	1.02E-03	3.75E-04	2.67E-03	2.17E-04	4.74E-02	8.46E-02	2.82E-04	3.24E-03	2.01E-02	2.35E-04	7.33E-03	1.52E-02	7.83E-03	8.66E-04	1.05E-02	5.61E-02	3.13E-03	5.58E-03	7.31E-03	6.12E-03	5.24E-03	4.77E-03	1.04E-03	1.27E-03	2.02E-03	4.00E-03	9.96E-18	7.07E-04	5.78E-06	7.34E-18
DBS2	3.74E-04	3.17E-05	1.26E-04	2.37E-04	4.17E-18	2.80E-04	1.48E-03	6.36E-06	2.92E-03	3.78E-05	4.17E-18	4.17E-18	1.68E-04	5.85E-06	4.58E-04	7.24E-01	7.26E-02	1.00E-01	1.77E-02	4.50E-04	1.10E-03	1.60E-02	2.37E-04	4.17E-18	1.15E-03	3.69E-04	1.28E-03	4.17E-18	2.15E-03	5.56E-03	3.21E-03	4.17E-18	5.87E-04	1.81E-05	1.34E-04	8.98E-05	3.38E-03	3.84E-05	3.90E-04	5.08E-03	3.25E-04	9.53E-04	1.06E-03	6.69E-05	7.36E-04	2.75E-03	1.89E-05	2.80E-04	8.22E-05	7.89E-05	1.30E-03	1.45E-03	2.00E-04	4.17E-18	6.82E-04	3.89E-06	3.35E-03	8.85E-04	9.87E-06	8.57E-05	2.96E-03	2.20E-04	4.29E-03	1.44E-04	5.94E-05	3.07E-03	1.47E-03	2.72E-04	6.40E-03	4.31E-03	3.45E-04	2.15E-04	4.17E-18	2.98E-06	1.52E-05	4.79E-05	1.54E-06	4.17E-18
DBS3	6.35E-03	4.65E-05	3.02E-03	5.85E-03	4.50E-04	1.01E-02	1.01E-03	1.11E-17	1.78E-06	7.04E-03	9.08E-03	1.46E-02	1.81E-03	5.25E-03	2.35E-03	9.09E-03	1.11E-17	5.89E-03	6.35E-04	7.25E-05	1.14E-17	2.08E-02	2.90E-05	1.11E-17	2.84E-04	1.11E-17	1.11E-17	9.79E-02	7.22E-04	7.17E-03	1.03E-04	2.91E-02	1.14E-01	1.72E-05	2.69E-05	5.99E-05	1.84E-04	6.34E-03	5.22E-02	2.16E-05	5.22E-04	3.99E-03	2.37E-04	1.11E-17	4.23E-03	1.45E-03	3.34E-03	3.44E-04	1.99E-03	5.46E-03	3.62E-04	5.49E-03	6.14E-06	1.12E-03	6.55E-02	1.16E-04	1.94E-02	7.78E-02	1.77E-04	4.34E-02	6.68E-05	8.04E-05	9.58E-04	1.59E-02	4.84E-04	6.07E-03	5.23E-04	4.98E-04	1.03E-02	3.22E-03	2.43E-03	2.29E-02	6.94E-04	8.16E-03	3.18E-02	1.23E-02	6.65E-02	1.71E-01
DBS4	4.14E-03	4.96E-05	8.32E-18	4.40E-03	7.01E-18	1.12E-08	1.27E-03	5.31E-05	1.61E-04	9.16E-04	7.00E-18	9.46E-18	3.24E-04	1.76E-05	4.53E-03	7.00E-18	5.43E-03	1.57E-02	3.55E-03	7.30E-05	7.99E-05	1.70E-04	8.30E-06	7.00E-18	2.90E-04	5.10E-06	7.00E-18	7.00E-18	7.00E-18	3.61E-04	7.00E-18	7.00E-18	3.63E-04	6.73E-04	7.22E-05	9.26E-04	7.00E-18	7.00E-18	3.08E-05	3.28E-01	1.13E-02	9.24E-03	1.19E-02	9.83E-07	1.77E-02	3.04E-02	3.89E-04	8.72E-03	7.02E-05	2.22E-03	8.06E-03	3.79E-01	1.87E-03	8.41E-03	8.46E-02	4.00E-04	8.28E-06	3.64E-02	1.04E-05	7.00E-18	7.63E-03	1.18E-04	7.00E-18	8.04E-04	1.20E-04	8.21E-05	7.85E-03	6.04E-04	3.23E-05	1.80E-05	6.60E-07	7.00E-18	7.00E-18	7.00E-18	7.25E-18	7.00E-18	7.00E-18	7.00E-18
DBS5	2.14E-03	4.62E-04	2.02E-03	5.58E-04	1.11E-17	8.22E-04	1.48E-03	1.12E-03	7.47E-03	1.08E-04	2.13E-05	1.05E-17	1.11E-03	1.05E-17	7.93E-04	1.05E-17	2.43E-02	2.43E-03	6.76E-05	1.19E-05	2.48E-05	1.27E-03	4.81E-03	1.05E-17	1.64E-03	9.92E-05	6.48E-03	1.05E-17	2.98E-05	2.22E-03	4.66E-01	2.09E-01	2.67E-02	1.61E-02	4.85E-03	5.70E-04	3.34E-03	2.37E-04	8.74E-04	1.33E-04	2.66E-03	1.57E-03	4.58E-03	3.23E-04	2.22E-04	1.87E-03	7.89E-06	2.27E-03	5.22E-05	1.63E-03	1.91E-03	4.04E-02	1.49E-02	7.48E-04	1.43E-03	1.06E-17	1.05E-03	2.46E-05	3.48E-05	3.86E-05	1.80E-02	1.46E-03	2.04E-02	4.76E-04	5.06E-04	3.28E-04	3.27E-03	2.92E-04	8.27E-02	4.92E-03	9.66E-04	8.93E-04	1.05E-17	7.73E-04	1.05E-17	2.99E-05	5.66E-05	1.05E-17
DBS6	2.66E-03	1.46E-04	2.40E-04	8.58E-03	1.04E-04	1.32E-04	1.01E-02	4.49E-04	3.18E-03	1.14E-04	6.39E-05	1.82E-06	1.62E-03	1.72E-05	2.20E-03	8.30E-18	6.16E-02	4.38E-04	3.55E-02	1.81E-02	3.44E-03	2.22E-03	6.87E-03	8.30E-18	7.54E-03	5.90E-04	3.22E-03	8.30E-18	8.91E-03	1.87E-02	4.48E-03	1.95E-03	3.95E-02	7.34E-03	1.79E-03	6.81E-03	8.84E-05	8.30E-18	1.12E-02	8.30E-18	3.66E-03	1.88E-03	8.69E-03	9.04E-18	8.29E-04	8.57E-03	2.59E-04	2.61E-02	2.64E-04	2.18E-04	6.25E-05	4.58E-02	8.28E-03	5.94E-04	1.18E-02	8.62E-04	9.39E-03	7.34E-03	1.51E-03	8.30E-18	2.55E-02	1.01E-02	2.21E-01	1.14E-02	7.89E-03	2.75E-01	7.44E-03	5.60E-03	2.74E-02	1.93E-04	1.28E-04	2.12E-03	8.30E-18	8.30E-18	1.12E-05	8.30E-18	4.09E-07	8.30E-18
DBS7	4.59E-02	6.25E-03	1.36E-02	9.73E-03	2.54E-03	4.50E-03	5.42E-03	9.98E-04	1.18E-03	1.11E-02	6.26E-03	1.11E-03	1.44E-02	9.29E-03	3.40E-02	9.04E-18	8.30E-05	8.52E-04	3.02E-04	2.05E-03	1.63E-04	9.04E-18	2.36E-04	9.04E-18	6.21E-05	1.87E-04	2.07E-05	9.04E-18	4.87E-05	3.13E-05	9.04E-18	1.01E-17	1.26E-03	1.87E-03	1.56E-02	4.00E-03	9.04E-18	6.32E-02	9.04E-18	9.04E-18	7.30E-05	3.50E-04	6.70E-04	2.65E-03	6.24E-06	5.58E-02	3.05E-03	2.91E-02	1.51E-03	4.31E-03	2.63E-02	1.96E-02	4.00E-06	2.29E-03	2.71E-03	1.63E-03	9.19E-03	9.04E-18	7.06E-04	9.04E-18	2.26E-02	2.62E-03	1.29E-03	2.39E-02	1.05E-03	9.04E-18	8.25E-03	3.88E-03	8.71E-03	2.35E-01	4.00E-02	5.39E-02	9.77E-02	3.54E-02	2.67E-03	4.36E-02	3.67E-03	9.04E-18
DBS8	2.15E-01	9.73E-04	3.18E-01	1.16E-03	8.10E-04	1.51E-04	1.24E-02	2.57E-03	2.68E-04	2.78E-05	1.43E-04	2.66E-04	1.62E-04	2.26E-04	3.15E-04	3.81E-02	1.55E-02	2.88E-02	8.09E-04	5.60E-05	2.29E-04	7.16E-04	4.21E-03	4.38E-03	3.22E-04	1.13E-17	1.21E-03	5.06E-04	9.05E-04	3.29E-04	2.06E-02	1.40E-02	2.04E-02	5.57E-03	2.37E-04	3.06E-04	1.09E-02	1.78E-02	9.66E-04	1.29E-02	8.52E-03	5.51E-03	4.83E-03	2.42E-04	8.56E-03	9.70E-03	2.09E-05	4.10E-03	7.89E-04	2.17E-04	1.53E-04	3.88E-02	1.16E-02	1.85E-02	1.76E-02	1.09E-02	8.76E-03	9.61E-03	1.91E-03	2.76E-04	8.65E-03	3.85E-03	8.22E-03	5.06E-03	1.25E-03	1.95E-02	2.71E-04	3.54E-03	7.86E-03	3.58E-03	1.13E-17	1.46E-02	6.29E-03	2.94E-04	1.16E-04	3.63E-03	2.86E-04	5.38E-04
